id,activities_id,height_id,sky_id,observer_id,timestamp,address_country,address_state,location,see_aurora,sky_other,time_start,time_end,on_going,height_other,activities_other,colors_other,types_other,comment,image,st_y,st_x,colors,types
639,acti,n,,526,2015-01-26 18:50:45.155806+00,Canada,SK,0101000020E61000009B19780E284A5BC0E044052BA7374A40,t,,2015-01-26 09:15:00+00,2015-01-26 11:45:00+00,f,Maybe up to 20 or 30 degrees off the horizon,"Somewhat sluggish motion, but definite activity","To the naked eye, it was mostly white, but fairly bright. It caught my attention!",,"My camera picked up very bright green, with just a hint of red at the tops at times.",n,52.43478906,-109.1586949,"whit, gree",arcs
637,,n,,,2015-01-26 10:22:25.840717+00,Canada,SK,0101000020E610000016B9D3EBF44A5BC03C06F692FD374A40,t,,2015-01-26 10:00:00+00,2015-01-26 10:15:00+00,t,,,"More white to the eyes, green to the camera",,"Most of the sky is cloudy, except the North Horizon",n,52.43742597,-109.1711988,gree,patc
640,,,clea,,2015-01-26 20:56:25.078514+00,Schweden,Norrbottens l_ùn,0101000020E6100000EFDFC5A8BEDC31405EAEC62E0C825040,f,,2015-01-26 20:45:00+00,2015-01-26 21:00:00+00,f,,,,,,n,66.03199357,17.86228423,,
641,,,,,2015-01-26 23:09:26.7401+00,Schweden,Norrbottens l_ùn,0101000020E6100000DA78400841E03140CCE4FC5EEA815040,f,,2015-01-26 22:45:00+00,2015-01-26 23:00:00+00,f,,,,,,n,66.02992987,17.87599231,,
643,,,,,2015-01-27 19:16:20.323003+00,Schweden,Norrbottens l_ùn,0101000020E6100000AF534053AFE231400C4EA3F2A4825040,f,,2015-01-26 23:00:00+00,2015-01-26 23:15:00+00,f,,,,,,n,66.04131762,17.88548775,,
645,acti,,,613,2015-01-28 07:54:52.689814+00,Canada,ON,0101000020E610000023630283161954C0CFE1C2D03FD84540,t,,2015-01-28 07:15:00+00,2015-01-28 08:00:00+00,t,,,,Pillars are oresent,,y,43.68944749,-80.39199901,"red, gree","arcs, glow"
646,,n,,358,2015-01-28 10:18:54.340936+00,United States,AK,0101000020E61000009BA980EF51BF62C085DED71EC3984E40,t,,2015-01-28 10:15:00+00,2015-01-28 10:30:00+00,t,,,,,,n,61.1934546,-149.9787519,gree,"glow, arcs"
650,acti,over,,,2015-01-31 01:29:15.981172+00,Iceland,Capital Region,0101000020E6100000EC942C7279F935C05DB030B263095040,t,,2015-01-30 19:30:00+00,2015-01-30 20:00:00+00,f,,,,,"Nice auroras, most probably continued, but stopped watching because of dinner plans. The record showed a huge K  spike to 7 from 20:00 to 20:30.",n,64.14670996,-21.97450937,gree,"glow, arcs, patc"
649,acti,n,,792,2015-01-30 21:33:17.962437+00,Finlandia,,0101000020E6100000531E162409D73A4001777FBE65C95040,t,,2015-01-30 20:00:00+00,2015-01-30 20:15:00+00,f,,,,,The moon was too bright and there were many clouds.,n,67.14683497,26.83998323,gree,arcs
651,,,,822,2015-02-01 03:01:03.34485+00,_è__Å_,____Å___Å,0101000020E6100000A1A7B0C76E2C5E4091C175829E9B3640,f,,2015-02-01 02:45:00+00,2015-02-01 03:00:00+00,f,,,,,,n,22.60788741,120.6942615,,
652,acti,n45,,358,2015-02-01 16:55:36.613465+00,United States,AK,0101000020E610000041727CDD889962C0D77788F3A8BB4E40,t,,2015-02-01 16:00:00+00,2015-02-01 17:00:00+00,f,,,Purple,,,n,61.46609348,-148.7979572,"red, gree, pink","glow, arcs"
654,very,whol,,806,2015-02-02 03:19:27.26728+00,Iceland,Capital Region,0101000020E6100000C359ACBB2AFA35C0B6C855EC45075040,t,,2015-02-01 23:00:00+00,2015-02-02 01:45:00+00,f,,,Purple,,,n,64.11364277,-21.97721456,"red, gree, pink","glow, arcs, patc"
653,,,clea,225,2015-02-02 00:33:29.268351+00,United States,NY,0101000020E61000001453C3AA2F5D52C0AF285F12215E4640,f,,2015-02-02 00:00:00+00,2015-02-02 00:45:00+00,f,,,,,Kp was supposed to be 6.33 but did not observed aurora. Normally visible at 5kp. Minor color captured on dslr.,n,44.73538427,-73.45603437,,
655,acti,n45,,560,2015-02-02 06:43:12.157989+00,Canada,AB,0101000020E61000001BE294C535D95BC0E3D3B13CA05C4C40,t,,2015-02-02 05:00:00+00,2015-02-02 06:45:00+00,t,,,,,,y,56.72364005,-111.393907,gree,"glow, arcs, patc"
658,very,n45,,,2015-02-02 11:08:17.700768+00,United States,AK,0101000020E61000006FFD1AA932C362C026B684E3C9274F40,t,,2015-02-02 05:45:00+00,2015-02-02 11:15:00+00,t,,When bz south,,Coming and going as bz go north and south,,y,62.31084866,-150.0999342,"gree, pink","glow, arcs, patc"
656,quie,n45,,,2015-02-02 07:31:04.446096+00,United States,AK,0101000020E610000044BA26FA72BD62C0C5C638EFCD9A4E40,t,,2015-02-02 06:30:00+00,2015-02-02 07:15:00+00,f,,,,,,n,61.20940962,-149.9202853,whit,glow
659,,,,822,2015-02-02 14:31:03.989407+00,_è__Å_,____Å___Å,0101000020E610000059FA8D93552C5E40CEC69436B29C3640,f,,2015-02-02 14:30:00+00,2015-02-02 14:45:00+00,f,,,,,,n,22.61209432,120.6927232,,
661,acti,n45,,,2015-02-05 13:49:21.904028+00,Canada,AB,0101000020E6100000AB8D895407B45CC093110BF4E2A34B40,t,,2015-02-03 06:00:00+00,2015-02-03 08:00:00+00,f,,,,,,n,55.28036356,-114.8129474,"red, gree","arcs, patc"
660,,n,,358,2015-02-03 09:57:11.260943+00,United States,AK,0101000020E61000009BFAAB0295C062C0A6ED370FD3994E40,t,,2015-02-03 09:45:00+00,2015-02-03 10:00:00+00,t,,,,,,n,61.20175352,-150.0181898,gree,arcs
664,very,over,,,2015-02-07 12:03:59.689169+00,United States,AK,0101000020E6100000E2769E1CD6C362C000BEB519AA1C4F40,t,,2015-02-07 10:30:00+00,2015-02-07 12:00:00+00,f,North east to north west horizon ,And the diffused part was slow moving and pulsating. ,,Corona,,n,62.22394105,-150.1198867,"gree, pink","glow, arcs, patc"
663,,n45,,358,2015-02-07 11:51:17.399384+00,United States,AK,0101000020E61000003496A179009B62C02761F08231B94E40,t,,2015-02-07 11:30:00+00,2015-02-07 12:00:00+00,t,,,,,,n,61.44682347,-148.843808,gree,"glow, arcs"
665,acti,n45,,358,2015-02-07 15:21:38.998161+00,United States,AK,0101000020E6100000DE81352A0EA462C09512CC10C2C94E40,t,,2015-02-07 14:15:00+00,2015-02-07 15:30:00+00,t,,,,,,n,61.57623491,-149.1267291,gree,"glow, arcs, patc"
